n,max,empty
500,5,189
500,4,180
500,5,176
500,6,183
500,5,185
500,5,192
500,4,193
500,4,176
500,5,178
500,5,179
500,4,173
500,5,193
500,4,186
500,5,184
500,7,179
500,4,185
500,5,171
500,6,186
500,5,188
500,5,186
500,4,179
500,5,179
500,7,182
500,6,183
500,5,182
500,6,171
500,5,185
500,8,180
500,5,176
500,6,177
500,5,180
500,5,176
500,5,181
500,6,183
500,5,178
600,6,214
600,5,215
600,5,207
600,4,208
600,5,223
600,5,214
600,6,208
600,6,234
600,6,213
600,4,210
600,7,229
600,5,222
600,5,215
600,5,211
600,7,227
600,5,230
600,5,224
600,5,220
600,6,225
600,5,231
600,5,218
600,5,222
600,6,219
600,6,210
600,6,214
600,5,223
600,5,225
600,7,230
600,5,225
600,4,211
600,5,227
600,4,210
600,5,221
600,5,228
600,5,221
600,4,226
600,5,214
600,4,221
600,6,213
600,6,212
600,5,223
600,5,208
600,7,215
600,6,222
600,6,220
600,5,211
600,7,211
600,5,215
600,5,215
600,5,215
600,5,219
600,5,209
600,4,202
600,5,223
600,6,214
600,5,201
600,4,233
600,7,218
600,5,211
600,4,217
600,6,216
600,6,211
600,6,232
600,4,219
600,5,229
600,6,218
600,4,221
600,4,221
600,5,227
600,5,210
600,5,220
600,7,232
600,5,230
600,4,217
600,5,224
600,6,225
600,6,229
600,4,227
600,5,214
600,5,229
600,5,225
600,5,214
600,5,217
600,6,230
600,5,214
600,5,211
600,5,221
600,5,215
600,6,216
600,6,223
600,5,225
600,5,222
600,5,229
600,5,209
600,6,222
600,5,212
600,5,221
600,4,221
600,5,227
600,5,215
700,6,258
700,5,252
700,5,251
700,5,261
700,7,253
700,8,248
700,5,262
700,6,253
700,5,256
700,5,259
700,5,247
700,5,256
700,5,248
700,5,269
700,5,266
700,5,260
700,6,256
700,5,257
700,5,258
700,5,253
700,6,259
700,6,266
700,4,248
700,5,265
700,5,256
700,5,255
700,6,244
700,5,252
700,5,247
700,6,257
700,5,244
700,5,269
700,6,261
700,5,247
700,4,244
700,6,262
700,5,270
700,6,256
700,5,247
700,5,253
700,5,265
700,5,265
700,5,254
700,6,260
700,5,235
700,7,255
700,5,249
700,6,268
700,6,255
700,5,243
700,6,260
700,6,248
700,6,250
700,4,250
700,5,256
700,5,247
700,6,249
700,5,245
700,5,260
700,4,271
700,5,257
700,4,241
700,5,270
700,5,264
700,5,248
700,6,259
700,6,251
700,7,271
700,5,254
700,5,265
700,5,248
700,5,256
700,5,273
700,5,264
700,6,253
700,5,258
700,5,252
700,4,249
700,5,251
700,5,254
700,6,252
700,4,254
700,4,265
700,5,247
700,5,255
700,5,265
700,6,258
700,4,247
700,6,258
