N,E,k
1,0,1
2,0,1
3,2,2
4,2,2
5,6,3
6,6,3
7,6,3
8,6,3
9,6,3
10,6,3
11,6,3
12,6,3
13,6,3
14,14,4
15,14,4
16,14,4
17,14,4
18,14,4
19,14,4
20,14,4
21,14,4
22,14,4
23,14,4
24,14,4
25,14,4
26,14,4
27,14,4
28,30,5
29,30,5
30,30,5
31,30,5
32,30,5
33,30,5
34,30,5
35,30,5
36,30,5
37,30,5
38,30,5
39,30,5
40,30,5
41,30,5
42,30,5
43,30,5
44,30,5
45,30,5
46,30,5
47,30,5
48,30,5
49,30,5
50,30,5
51,30,5
52,30,5
53,30,5
54,30,5
55,62,6
56,62,6
57,62,6
58,62,6
59,62,6
60,62,6
61,62,6
62,62,6
63,62,6
64,62,6
65,62,6
66,62,6
67,62,6
68,62,6
69,62,6
70,62,6
71,62,6
72,62,6
73,62,6
74,62,6
75,62,6
76,62,6
77,62,6
78,62,6
79,62,6
80,62,6
81,62,6
82,62,6
83,62,6
84,62,6
85,62,6
86,62,6
87,62,6
88,62,6
89,62,6
90,62,6
91,62,6
92,62,6
93,62,6
94,62,6
95,62,6
96,62,6
97,62,6
98,62,6
99,62,6
100,62,6
101,62,6
102,62,6
103,62,6
104,62,6
105,62,6
106,62,6
107,62,6
108,62,6
109,126,7
110,126,7
111,126,7
112,126,7
113,126,7
114,126,7
115,126,7
116,126,7
117,126,7
118,126,7
119,126,7
120,126,7
121,126,7
122,126,7
123,126,7
124,126,7
125,126,7
126,126,7
127,126,7
128,126,7
129,126,7
130,126,7
131,126,7
132,126,7
133,126,7
134,126,7
135,126,7
136,126,7
137,126,7
138,126,7
139,126,7
140,126,7
141,126,7
142,126,7
143,126,7
144,126,7
145,126,7
146,126,7
147,126,7
148,126,7
149,126,7
150,126,7
151,126,7
152,126,7
153,126,7
154,126,7
155,126,7
156,126,7
157,126,7
158,126,7
159,126,7
160,126,7
161,126,7
162,126,7
163,126,7
164,126,7
165,126,7
166,126,7
167,126,7
168,126,7
169,126,7
170,126,7
171,126,7
172,126,7
173,126,7
174,126,7
175,126,7
176,126,7
177,126,7
178,126,7
179,126,7
180,126,7
181,126,7
182,126,7
183,126,7
184,126,7
185,126,7
186,126,7
187,126,7
188,126,7
189,126,7
190,126,7
191,126,7
192,126,7
193,126,7
194,126,7
195,126,7
196,126,7
197,126,7
198,254,8
199,254,8
200,254,8
201,254,8
202,254,8
203,254,8
204,254,8
205,254,8
206,254,8
207,254,8
208,254,8
209,254,8
210,254,8
211,254,8
212,254,8
213,254,8
214,254,8
215,254,8
216,254,8
217,254,8
218,254,8
219,254,8
220,254,8
221,254,8
222,254,8
223,254,8
224,254,8
225,254,8
226,254,8
227,254,8
228,254,8
229,254,8
230,254,8
231,254,8
232,254,8
233,254,8
234,254,8
235,254,8
236,254,8
237,254,8
238,254,8
239,254,8
240,254,8
241,254,8
242,254,8
243,254,8
244,254,8
245,254,8
246,254,8
247,254,8
248,254,8
249,254,8
250,254,8
251,254,8
252,254,8
253,254,8
254,254,8
255,254,8
256,254,8
257,254,8
258,254,8
259,254,8
260,254,8
261,254,8
262,254,8
263,254,8
264,254,8
265,254,8
266,254,8
267,254,8
268,254,8
269,254,8
270,254,8
271,254,8
272,254,8
273,254,8
274,254,8
275,254,8
276,254,8
277,254,8
278,254,8
279,254,8
280,254,8
281,254,8
282,254,8
283,254,8
284,254,8
285,254,8
286,254,8
287,254,8
288,254,8
289,254,8
290,254,8
291,254,8
292,254,8
293,254,8
294,254,8
295,254,8
296,254,8
297,254,8
298,254,8
299,254,8
300,254,8
301,254,8
302,254,8
303,254,8
304,254,8
305,254,8
306,254,8
307,254,8
308,254,8
309,254,8
310,254,8
311,254,8
312,254,8
313,254,8
314,254,8
315,254,8
316,254,8
317,254,8
318,254,8
319,254,8
320,254,8
321,254,8
322,254,8
323,254,8
324,254,8
325,254,8
326,254,8
327,254,8
328,254,8
329,254,8
330,254,8
331,254,8
332,254,8
333,254,8
334,254,8
335,254,8
336,254,8
337,254,8
338,254,8
339,254,8
340,254,8
341,254,8
342,254,8
343,254,8
344,254,8
345,254,8
346,254,8
347,254,8
348,254,8
349,254,8
350,254,8
351,254,8
352,254,8
353,254,8
354,254,8
355,254,8
356,254,8
357,254,8
358,254,8
359,254,8
360,254,8
361,254,8
362,254,8
363,254,8
364,254,8
365,254,8
366,254,8
367,254,8
368,254,8
369,254,8
370,254,8
371,254,8
372,254,8
373,254,8
374,254,8
375,254,8
376,254,8
377,254,8
378,254,8
379,254,8
380,254,8
381,254,8
382,254,8
383,254,8
384,254,8
385,254,8
386,254,8
387,254,8
388,254,8
389,254,8
390,254,8
391,254,8
392,254,8
393,254,8
394,254,8
395,254,8
396,254,8
397,254,8
398,254,8
399,254,8
400,254,8
401,254,8
402,254,8
403,254,8
404,254,8
405,254,8
406,254,8
407,254,8
408,254,8
409,254,8
410,254,8
411,254,8
412,254,8
413,254,8
414,254,8
415,254,8
416,254,8
417,254,8
418,254,8
419,254,8
420,254,8
421,254,8
422,254,8
423,254,8
424,254,8
425,254,8
426,254,8
427,254,8
428,254,8
429,254,8
430,254,8
431,254,8
432,254,8
433,254,8
434,254,8
435,254,8
436,254,8
437,254,8
438,254,8
439,254,8
440,254,8
441,254,8
442,254,8
443,254,8
444,254,8
445,254,8
446,254,8
447,254,8
448,254,8
449,254,8
450,254,8
451,254,8
452,254,8
453,254,8
454,254,8
455,254,8
456,254,8
457,254,8
458,254,8
459,254,8
460,254,8
461,254,8
462,254,8
463,254,8
464,254,8
465,254,8
466,254,8
467,254,8
468,254,8
469,254,8
470,254,8
471,254,8
472,254,8
473,254,8
474,254,8
475,254,8
476,254,8
477,254,8
478,254,8
479,254,8
480,254,8
481,254,8
482,254,8
483,254,8
484,254,8
485,254,8
486,254,8
487,254,8
488,254,8
489,254,8
490,254,8
491,254,8
492,254,8
493,254,8
494,254,8
495,254,8
496,254,8
497,254,8
498,254,8
499,254,8
500,254,8
501,254,8
502,254,8
503,254,8
504,254,8
505,254,8
506,254,8
507,254,8
508,254,8
509,254,8
510,254,8
511,254,8
512,254,8
513,254,8
514,254,8
515,254,8
516,254,8
517,254,8
518,254,8
519,254,8
520,254,8
521,254,8
522,254,8
523,510,9
524,510,9
525,510,9
526,510,9
527,510,9
528,510,9
529,510,9
530,510,9
531,510,9
532,510,9
533,510,9
534,510,9
535,510,9
536,510,9
537,510,9
538,510,9
539,510,9
540,510,9
541,510,9
542,510,9
543,510,9
544,510,9
545,510,9
546,510,9
547,510,9
548,510,9
549,510,9
550,510,9
551,510,9
552,510,9
553,510,9
554,510,9
555,510,9
556,510,9
557,510,9
558,510,9
559,510,9
560,510,9
561,510,9
562,510,9
563,510,9
564,510,9
565,510,9
566,510,9
567,510,9
568,510,9
569,510,9
570,510,9
571,510,9
572,510,9
573,510,9
574,510,9
575,510,9
576,510,9
577,510,9
578,510,9
579,510,9
580,510,9
581,510,9
582,510,9
583,510,9
584,510,9
585,510,9
586,510,9
587,510,9
588,510,9
589,510,9
590,510,9
591,510,9
592,510,9
593,510,9
594,510,9
595,510,9
596,510,9
597,510,9
598,510,9
599,510,9
600,510,9
601,510,9
602,510,9
603,510,9
604,510,9
605,510,9
606,510,9
607,510,9
608,510,9
609,510,9
610,510,9
611,510,9
612,510,9
613,510,9
614,510,9
615,510,9
616,510,9
617,510,9
618,510,9
619,510,9
620,510,9
621,510,9
622,510,9
623,510,9
624,510,9
625,510,9
626,510,9
627,510,9
628,510,9
629,510,9
630,510,9
631,510,9
632,510,9
633,510,9
634,510,9
635,510,9
636,510,9
637,510,9
638,510,9
639,510,9
640,510,9
641,510,9
642,510,9
643,510,9
644,510,9
645,510,9
646,510,9
647,510,9
648,510,9
649,510,9
650,510,9
651,510,9
652,510,9
653,510,9
654,510,9
655,510,9
656,510,9
657,510,9
658,510,9
659,510,9
