N,removed,diff,iterations
100,390,208,23221
100,378,208,22078
100,385,208,22909
100,382,208,22544
100,380,208,22338
100,363,208,21431
100,377,208,22379
100,375,208,22374
100,363,208,21500
100,375,208,22503
100,379,208,22174
100,373,208,21860
100,403,208,23599
100,360,208,21310
100,399,208,23968
100,397,208,23237
100,384,208,22655
100,367,208,21557
100,392,208,23038
100,369,208,22004
100,383,208,22438
100,401,208,23546
100,384,208,22906
100,388,208,22578
100,380,208,22474
100,388,208,23067
100,378,208,22221
100,381,208,22692
100,356,208,20873
100,375,208,22123
100,383,208,22707
100,365,208,21606
100,376,208,22231
100,395,208,23155
100,404,208,24084
100,383,208,22538
100,377,208,22074
100,386,208,22709
100,376,208,22014
100,382,208,22274
100,376,208,21960
100,379,208,22180
100,366,208,21540
100,367,208,21802
100,387,208,22652
100,365,208,21324
100,362,208,21623
100,370,208,21848
100,381,208,22661
100,370,208,21556
100,389,208,23238
100,373,208,22194
100,386,208,22677
100,360,208,21310
100,394,208,23068
100,401,208,23768
100,369,208,21841
100,392,208,23103
100,365,208,21215
100,381,208,22613
100,387,208,22706
100,392,208,23192
100,406,208,23671
100,379,208,22341
100,370,208,21874
100,399,208,23360
100,397,208,23566
100,353,208,20999
100,369,208,21711
100,388,208,22813
100,392,208,22950
100,364,208,21432
100,373,208,22004
100,396,208,23124
100,400,208,23198
100,373,208,22169
100,373,208,21905
100,395,208,23227
100,364,208,21149
100,393,208,22993
100,373,208,22003
100,391,208,23187
100,380,208,22344
100,377,208,22083
100,380,208,22493
100,399,208,23293
100,399,208,23313
100,379,208,22478
100,397,208,23380
100,415,208,24393
100,394,208,23095
100,388,208,22810
100,368,208,21711
100,385,208,22382
100,384,208,22355
100,363,208,21495
100,384,208,22636
100,381,208,22366
100,391,208,23147
100,374,208,22060
100,407,208,24047
100,366,208,21716
100,386,208,22815
100,389,208,23049
100,383,208,22672
100,394,208,23268
100,387,208,22549
100,389,208,23036
100,377,208,22177
100,382,208,22373
100,363,208,21258
100,391,208,23057
100,384,208,22762
100,402,208,23617
100,397,208,23244
100,386,208,22665
100,361,208,21151
100,378,208,22136
100,393,208,22794
100,374,208,21755
100,382,208,22420
100,381,208,22170
100,366,208,21482
100,371,208,21837
100,408,208,23976
100,372,208,22136
100,394,208,23384
100,390,208,23031
100,390,208,23120
100,389,208,22861
100,381,208,22281
100,378,208,22031
100,396,208,23158
100,378,208,22242
100,405,208,23782
100,383,208,22817
100,366,208,21592
100,364,208,21340
100,381,208,22377
100,366,208,21506
100,380,208,22208
100,394,208,23118
100,389,208,22682
100,386,208,22770
100,354,208,20844
100,393,208,23048
100,369,208,21549
100,366,208,21532
100,384,208,22737
100,381,208,22538
100,374,208,22221
100,371,208,22084
100,386,208,22602
100,380,208,22298
100,369,208,21465
100,357,208,21254
100,379,208,22146
100,382,208,22445
100,371,208,21788
100,382,208,22379
100,369,208,21772
100,378,208,22451
100,405,208,23482
100,379,208,22275
100,381,208,22242
100,358,208,21122
100,377,208,22221
100,357,208,21213
100,395,208,23262
100,372,208,21606
100,365,208,21710
100,374,208,21816
100,380,208,22323
100,374,208,21971
100,378,208,22343
100,385,208,22892
100,378,208,22127
100,402,208,23908
100,368,208,21662
100,400,208,23461
100,369,208,21869
100,407,208,23965
100,359,208,21038
100,369,208,21659
100,362,208,21295
100,391,208,22961
100,397,208,23405
100,366,208,21581
100,376,208,22116
100,382,208,22148
100,369,208,21779
100,378,208,22219
100,402,208,23914
100,373,208,22028
100,379,208,22263
100,367,208,21517
100,390,208,22707
100,394,208,23239
100,389,208,22850
100,405,208,23827
100,383,208,22479
100,381,208,22233
100,384,208,22487
100,393,208,22945
100,369,208,21460
100,394,208,23106
100,389,208,22960
100,395,208,23065
100,386,208,22732
100,354,208,20830
100,377,208,22356
100,406,208,23820
100,390,208,22765
100,379,208,22467
100,387,208,22602
100,377,208,22153
100,383,208,22407
100,388,208,22905
100,367,208,22123
100,377,208,21885
100,370,208,21587
100,388,208,22883
100,388,208,22709
100,389,208,22978
100,362,208,21593
100,380,208,22433
100,374,208,22275
100,379,208,22669
100,398,208,23095
100,368,208,22007
100,379,208,22341
100,389,208,23173
100,374,208,22059
100,402,208,23823
100,387,208,22801
100,354,208,20793
100,381,208,22414
100,369,208,21667
100,363,208,21574
100,384,208,22698
100,383,208,22369
100,401,208,23567
100,377,208,22142
100,380,208,22273
100,378,208,22284
100,383,208,22526
100,377,208,22023
100,391,208,23134
100,376,208,22251
100,375,208,22062
100,366,208,21987
100,372,208,21807
100,375,208,22213
100,383,208,22444
100,392,208,23147
100,386,208,22476
100,375,208,22320
100,352,208,20764
100,361,208,21147
100,377,208,22423
100,374,208,22061
100,391,208,23217
100,370,208,21661
100,378,208,22225
100,354,208,21029
100,385,208,22464
100,380,208,22171
100,381,208,22323
100,389,208,22984
100,404,208,23891
100,377,208,22146
100,368,208,21615
100,375,208,22001
100,378,208,22587
100,359,208,21367
100,364,208,21618
100,380,208,22306
100,363,208,21356
100,359,208,21373
100,363,208,21050
100,364,208,21618
100,378,208,22362
100,390,208,22921
100,367,208,21531
100,381,208,22772
100,394,208,23071
100,353,208,21093
100,374,208,22112
100,419,208,24967
100,384,208,22745
100,369,208,21456
100,379,208,22481
100,394,208,23169
100,391,208,23022
100,387,208,22780
100,397,208,23144
100,394,208,23360
100,398,208,23229
100,375,208,22120
100,397,208,23302
100,368,208,21720
100,385,208,22641
100,370,208,21699
100,370,208,21644
100,374,208,22114
100,382,208,22343
100,365,208,21530
100,371,208,21714
100,383,208,22822
100,369,208,21632
100,390,208,22924
100,368,208,21971
100,362,208,21373
100,383,208,22526
100,409,208,24209
100,386,208,22855
100,369,208,21844
100,387,208,23243
100,386,208,22914
100,375,208,22037
100,378,208,22501
100,373,208,21938
100,369,208,22010
100,379,208,22065
100,389,208,22827
100,394,208,23150
100,370,208,22268
100,376,208,21914
100,383,208,22248
100,364,208,21502
100,383,208,22863
100,383,208,22674
100,388,208,22761
100,379,208,22295
100,363,208,21657
100,382,208,22448
100,370,208,21745
100,392,208,22855
100,388,208,22953
100,374,208,22046
100,377,208,22097
100,379,208,22299
100,384,208,22379
100,385,208,22589
100,373,208,22107
100,373,208,22212
100,363,208,21421
100,382,208,22607
100,383,208,22496
100,374,208,21940
100,370,208,21737
100,364,208,21344
100,392,208,23034
100,370,208,21989
100,380,208,22354
100,372,208,21945
100,367,208,21526
100,380,208,22389
100,373,208,21855
100,385,208,22540
100,406,208,24182
100,387,208,22496
100,375,208,22146
100,350,208,20684
100,375,208,22330
100,368,208,21779
100,370,208,21701
100,398,208,23120
100,381,208,22295
100,384,208,22792
100,393,208,22860
100,376,208,22092
100,382,208,22614
100,380,208,22307
100,386,208,22806
100,368,208,21702
100,385,208,22948
100,381,208,22512
100,391,208,22971
100,376,208,21968
100,386,208,22675
100,367,208,21775
100,382,208,22738
100,386,208,22529
100,368,208,21894
100,375,208,22082
100,389,208,23220
100,363,208,21303
100,375,208,22282
100,352,208,21047
100,387,208,22894
100,377,208,22275
100,387,208,22904
100,378,208,22172
100,387,208,22709
100,381,208,22535
100,376,208,22379
100,352,208,21018
100,361,208,21483
100,380,208,22564
100,377,208,22215
100,410,208,23950
100,371,208,21698
100,370,208,21503
100,382,208,22610
100,375,208,22557
100,384,208,22746
100,376,208,22145
100,412,208,24174
100,359,208,21421
100,407,208,24122
100,382,208,22761
100,381,208,22599
100,380,208,22285
100,391,208,22835
100,387,208,23194
100,389,208,22989
100,358,208,21443
100,384,208,22771
100,390,208,22900
100,375,208,22051
100,383,208,22722
100,384,208,22822
100,402,208,23866
100,387,208,22703
100,387,208,22950
100,364,208,21560
100,377,208,22051
100,400,208,23551
100,372,208,21580
100,388,208,22774
100,401,208,23441
100,388,208,22430
100,373,208,21935
100,383,208,22499
100,374,208,21884
100,385,208,22756
100,355,208,21180
100,374,208,22001
100,388,208,22671
100,375,208,22181
100,372,208,21839
100,387,208,22548
100,374,208,21884
100,358,208,21228
100,373,208,22202
100,380,208,22118
100,401,208,23947
100,380,208,22213
100,373,208,22244
100,387,208,22564
100,388,208,22796
100,356,208,20888
100,388,208,22702
100,371,208,21793
100,377,208,22442
100,412,208,24825
100,403,208,23681
100,383,208,22412
100,403,208,23778
100,393,208,23300
100,390,208,22776
100,381,208,22661
100,390,208,23067
100,361,208,21480
100,408,208,24022
100,377,208,22271
100,384,208,22960
100,374,208,22142
100,392,208,23211
100,376,208,22090
100,393,208,22883
100,387,208,22650
100,386,208,22695
100,382,208,22296
100,371,208,21531
100,385,208,22341
100,384,208,22388
100,391,208,23281
100,405,208,23938
100,381,208,22300
100,399,208,23414
100,379,208,22745
100,389,208,22780
100,370,208,21592
100,378,208,22308
100,401,208,23750
100,390,208,23172
100,385,208,23010
100,375,208,21862
100,369,208,21758
100,387,208,22828
100,369,208,21788
100,381,208,22254
100,386,208,22908
100,362,208,21110
100,388,208,23089
100,393,208,23111
100,389,208,22797
100,382,208,22708
100,377,208,21997
100,381,208,22376
100,377,208,21999
100,396,208,23276
100,361,208,21262
100,383,208,22519
100,388,208,23084
100,370,208,21885
100,390,208,22770
100,394,208,22993
100,379,208,22490
100,354,208,21102
100,359,208,21317
100,375,208,22209
100,373,208,21743
100,373,208,21992
100,401,208,23433
100,377,208,22267
100,400,208,23576
100,376,208,21945
100,383,208,22418
100,378,208,22216
100,329,208,19701
100,363,208,21330
100,370,208,21577
100,375,208,22087
100,393,208,23093
100,373,208,21859
100,374,208,22419
100,379,208,22441
100,392,208,23149
100,412,208,24132
100,378,208,22045
100,372,208,21904
100,391,208,22816
100,394,208,23099
100,375,208,22051
100,375,208,22550
100,384,208,23064
100,376,208,22044
100,366,208,21579
100,385,208,22719
100,391,208,22806
100,377,208,22453
100,361,208,21128
100,381,208,22453
100,378,208,22359
100,389,208,22946
100,381,208,22568
100,406,208,24025
100,373,208,22008
100,376,208,22202
100,365,208,21725
100,368,208,21596
100,371,208,22010
100,406,208,23894
100,376,208,22269
100,380,208,22356
100,370,208,21605
100,367,208,21586
100,368,208,21578
100,374,208,22230
100,361,208,21549
100,390,208,22720
100,384,208,22798
100,379,208,22178
100,398,208,23498
100,360,208,21172
100,354,208,20852
100,362,208,21445
100,382,208,22728
100,405,208,23747
100,378,208,22419
100,405,208,24151
100,399,208,23601
100,377,208,22191
100,384,208,22784
100,401,208,23763
100,369,208,21552
100,394,208,23137
100,372,208,21768
100,392,208,22697
100,375,208,21896
100,376,208,21976
100,383,208,22426
100,400,208,23308
100,380,208,22478
100,371,208,21776
100,375,208,22069
100,370,208,21718
100,372,208,21987
100,385,208,22733
100,375,208,22466
100,372,208,21879
100,370,208,21859
100,374,208,22052
100,391,208,22726
100,380,208,22263
100,383,208,22316
100,367,208,21750
100,394,208,23061
100,374,208,22314
100,374,208,21915
100,395,208,23296
100,377,208,22444
100,393,208,23115
100,363,208,21501
100,384,208,22339
100,394,208,22969
100,384,208,22597
100,375,208,21819
100,392,208,23010
100,395,208,23179
100,395,208,23181
100,393,208,22931
100,378,208,22331
100,383,208,22586
100,369,208,21605
100,385,208,22522
100,370,208,21898
100,370,208,21859
100,353,208,20917
100,393,208,22994
100,389,208,22797
100,366,208,21457
100,377,208,22258
100,365,208,21231
100,375,208,22360
100,379,208,22418
100,370,208,21699
100,373,208,22026
100,377,208,22637
100,381,208,22513
100,388,208,22759
100,360,208,21100
100,381,208,22334
100,380,208,21977
100,386,208,22698
100,399,208,23492
100,394,208,23188
100,374,208,22011
100,373,208,22185
100,380,208,22436
100,388,208,22818
100,374,208,21750
100,385,208,22468
100,378,208,22112
100,380,208,22287
100,377,208,22591
100,379,208,22236
100,378,208,22117
100,393,208,22885
100,369,208,21380
100,387,208,23050
100,368,208,21632
100,366,208,21554
100,401,208,23640
100,364,208,21413
100,376,208,22086
100,378,208,22405
100,375,208,22180
100,376,208,22045
100,394,208,23320
100,365,208,21616
100,413,208,24080
100,389,208,22701
100,372,208,21925
100,389,208,22850
100,387,208,22755
100,401,208,23300
100,383,208,22330
100,389,208,22973
100,364,208,21482
100,393,208,23169
100,369,208,21690
100,390,208,22778
100,370,208,21937
100,409,208,23981
100,381,208,22513
100,410,208,24155
100,387,208,23050
100,377,208,22570
100,384,208,22878
100,399,208,23454
100,392,208,22875
100,369,208,21696
100,401,208,23518
100,395,208,23729
100,375,208,22237
100,391,208,23326
100,403,208,23859
200,786,408,66747
200,751,408,64225
200,798,408,66982
200,739,408,63622
200,756,408,64486
200,787,408,66505
200,742,408,63799
200,744,408,64028
200,740,408,63772
200,759,408,65165
200,768,408,65170
200,799,408,67320
