N,triangles,iterations
500,1008,314678
500,1008,316595
500,1008,317571
500,1008,317833
500,1008,314311
500,1008,314495
500,1008,314676
500,1008,314019
500,1008,315823
500,1008,319134
500,1008,317594
500,1008,317370
500,1008,317977
500,1008,311437
500,1008,317909
500,1008,315074
500,1008,316338
500,1008,314234
500,1008,313912
500,1008,316480
500,1008,319431
500,1008,315522
500,1008,315818
500,1008,316120
500,1008,314409
500,1008,315853
500,1008,317541
500,1008,316924
500,1008,316891
500,1008,317413
500,1008,315530
500,1008,315089
500,1008,314874
500,1008,314239
500,1008,318479
500,1008,314526
500,1008,314280
500,1008,317544
500,1008,316421
500,1008,312065
500,1008,314748
500,1008,316933
500,1008,320191
500,1008,315792
500,1008,317722
500,1008,317506
500,1008,316620
500,1008,310665
500,1008,314434
500,1008,315531
500,1008,315978
500,1008,315284
600,1208,438559
600,1208,439416
600,1208,437063
600,1208,439677
600,1208,439754
600,1208,440997
600,1208,442184
600,1208,440302
600,1208,437768
600,1208,440228
600,1208,438539
600,1208,439055
600,1208,436708
600,1208,436292
600,1208,438761
600,1208,440086
600,1208,439486
600,1208,438844
600,1208,438045
600,1208,440213
600,1208,436824
600,1208,439044
600,1208,441425
600,1208,443797
600,1208,440034
600,1208,439435
600,1208,440323
600,1208,437769
600,1208,436134
600,1208,439294
600,1208,436502
600,1208,437870
600,1208,435966
600,1208,438039
600,1208,434519
600,1208,438708
600,1208,440516
600,1208,438422
600,1208,440050
600,1208,438496
600,1208,436820
600,1208,440863
600,1208,440498
600,1208,437522
600,1208,438544
600,1208,437941
600,1208,441508
600,1208,438186
600,1208,440266
600,1208,436944
600,1208,439273
600,1208,437068
600,1208,440481
600,1208,439616
600,1208,436605
600,1208,435211
600,1208,436297
600,1208,439735
600,1208,438695
600,1208,442561
600,1208,435294
600,1208,435346
600,1208,438656
600,1208,441044
600,1208,437611
600,1208,440489
600,1208,438331
600,1208,443044
600,1208,441537
600,1208,440688
600,1208,440027
600,1208,441636
600,1208,438210
600,1208,441298
600,1208,441538
600,1208,440280
600,1208,439814
600,1208,435539
600,1208,436764
600,1208,437266
600,1208,441038
600,1208,438895
600,1208,438991
600,1208,435041
600,1208,439112
600,1208,438621
600,1208,437883
600,1208,438254
600,1208,435865
600,1208,437368
600,1208,440579
600,1208,439477
600,1208,437574
600,1208,441475
600,1208,435366
600,1208,439717
600,1208,438345
600,1208,435370
600,1208,439199
600,1208,442499
700,1408,581964
700,1408,577406
700,1408,578272
700,1408,582922
700,1408,584465
700,1408,583272
700,1408,580530
700,1408,584697
700,1408,577977
700,1408,580473
700,1408,582642
700,1408,584572
700,1408,581483
700,1408,582733
700,1408,578793
700,1408,579178
700,1408,584059
700,1408,580293
700,1408,582116
700,1408,583274
700,1408,580795
700,1408,581875
700,1408,584453
700,1408,577506
700,1408,576700
700,1408,584018
700,1408,587070
700,1408,583343
700,1408,581007
700,1408,582021
700,1408,585309
700,1408,579271
700,1408,583003
700,1408,586765
700,1408,578489
700,1408,583405
700,1408,583859
700,1408,583691
700,1408,580915
700,1408,583582
700,1408,583273
700,1408,581683
700,1408,581415
700,1408,582736
700,1408,582583
700,1408,587359
700,1408,584915
700,1408,583991
700,1408,583536
700,1408,584993
700,1408,584580
700,1408,582581
700,1408,585638
700,1408,580880
700,1408,584485
700,1408,581605
700,1408,584428
700,1408,583200
700,1408,577379
700,1408,588025
700,1408,584779
700,1408,581485
700,1408,585051
700,1408,580036
700,1408,580057
700,1408,583931
700,1408,581339
700,1408,581237
700,1408,583960
700,1408,578615
700,1408,583703
700,1408,580298
700,1408,583691
700,1408,580591
700,1408,583083
700,1408,579841
700,1408,582444
700,1408,581925
700,1408,582181
700,1408,583549
700,1408,582264
700,1408,584898
700,1408,578175
700,1408,580584
700,1408,582128
700,1408,584025
700,1408,580675
700,1408,585055
700,1408,583822
700,1408,584464
700,1408,582905
700,1408,579687
700,1408,584182
700,1408,585097
700,1408,583857
700,1408,577256
700,1408,582991
700,1408,582111
700,1408,582771
